,LocationDesc,Question,Data_Value,StratificationCategory1,Stratification1
8629,South Carolina,Percent of adults who report consuming vegetables less than one time daily,16.0,Income,"$35,000 - $49,999"
8630,West Virginia,Percent of adults aged 18 years and older who have obesity,31.0,Race/Ethnicity,Other
8631,Pennsylvania,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,26.0,Race/Ethnicity,Non-Hispanic Black
8632,West Virginia,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,15.3,Gender,Male
8633,New Hampshire,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,22.7,Race/Ethnicity,Non-Hispanic White
8634,Arkansas,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,23.6,Income,"$25,000 - $34,999"
8635,Utah,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),50.2,Race/Ethnicity,American Indian/Alaska Native
8636,Georgia,Percent of adults who engage in no leisure-time physical activity,20.2,Race/Ethnicity,2 or more races
8637,Delaware,Percent of adults who engage in no leisure-time physical activity,31.1,Income,"$35,000 - $49,999"
8638,Wisconsin,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),49.8,Race/Ethnicity,Asian
8639,Virginia,Percent of adults aged 18 years and older who have an overweight classification,33.9,Race/Ethnicity,2 or more races
8640,Alabama,Percent of adults who engage in no leisure-time physical activity,21.6,Income,"$75,000 or greater"
8641,Virgin Islands,Percent of adults who engage in no leisure-time physical activity,23.9,Age (years),65 or older
8642,South Carolina,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),27.8,Gender,Female
8643,North Dakota,Percent of adults aged 18 years and older who have obesity,26.3,Education,College graduate
8644,Mississippi,Percent of adults aged 18 years and older who have obesity,40.7,Income,"$50,000 - $74,999"
8645,District of Columbia,Percent of adults who engage in no leisure-time physical activity,25.6,Race/Ethnicity,Hawaiian/Pacific Islander
8646,Colorado,Percent of adults who engage in no leisure-time physical activity,17.1,Gender,Female
8647,Montana,Percent of adults aged 18 years and older who have obesity,31.9,Education,High school graduate
8648,New Mexico,Percent of adults aged 18 years and older who have obesity,33.0,Age (years),45 - 54
8649,Montana,Percent of adults who engage in no leisure-time physical activity,27.9,Income,"$15,000 - $24,999"
8650,Alabama,Percent of adults who engage in no leisure-time physical activity,36.0,Age (years),55 - 64
8651,Louisiana,Percent of adults aged 18 years and older who have obesity,39.0,Race/Ethnicity,Hispanic
8652,Connecticut,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),27.4,Age (years),25 - 34
8653,Nevada,Percent of adults aged 18 years and older who have an overweight classification,23.8,Race/Ethnicity,2 or more races
8654,Arkansas,Percent of adults who report consuming fruit less than one time daily,47.0,Income,"$50,000 - $74,999"
8655,Minnesota,Percent of adults who engage in no leisure-time physical activity,20.8,Income,"$35,000 - $49,999"
8656,New Jersey,Percent of adults who engage in no leisure-time physical activity,29.5,Age (years),65 or older
8657,Tennessee,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),19.1,Education,High school graduate
8658,Delaware,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),30.8,Income,"$35,000 - $49,999"
8659,West Virginia,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,20.2,Total,Total
8660,Pennsylvania,Percent of adults aged 18 years and older who have obesity,26.3,Education,College graduate
8661,New Mexico,Percent of adults who report consuming fruit less than one time daily,41.3,Race/Ethnicity,Hispanic
8662,Florida,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),49.3,Age (years),25 - 34
8663,Indiana,Percent of adults who engage in no leisure-time physical activity,24.1,Income,"$50,000 - $74,999"
8664,Iowa,Percent of adults who report consuming vegetables less than one time daily,21.4,Race/Ethnicity,Hawaiian/Pacific Islander
8665,North Carolina,Percent of adults aged 18 years and older who have an overweight classification,34.4,Race/Ethnicity,Asian
8666,Maine,Percent of adults aged 18 years and older who have obesity,31.7,Income,Data not reported
8667,Iowa,Percent of adults aged 18 years and older who have an overweight classification,36.7,Total,Total
8668,Virginia,Percent of adults who report consuming fruit less than one time daily,39.7,Race/Ethnicity,Non-Hispanic White
8669,Colorado,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,30.7,Education,High school graduate
8670,Tennessee,Percent of adults who engage in no leisure-time physical activity,23.4,Education,Some college or technical school
8671,West Virginia,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,20.2,Race/Ethnicity,Other
8672,South Dakota,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),31.1,Race/Ethnicity,Hawaiian/Pacific Islander
8673,South Dakota,Percent of adults aged 18 years and older who have obesity,35.7,Income,"Less than $15,000"
8674,Michigan,Percent of adults who engage in no leisure-time physical activity,22.2,Race/Ethnicity,Non-Hispanic White
8675,Connecticut,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,33.4,Race/Ethnicity,Non-Hispanic White
8676,Florida,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,28.8,Education,Less than high school
8677,Georgia,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),49.6,Age (years),35 - 44
8678,New Mexico,Percent of adults who engage in no leisure-time physical activity,22.0,Education,Some college or technical school
8679,Massachusetts,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,23.5,Total,Total
8680,Alaska,Percent of adults aged 18 years and older who have an overweight classification,34.5,Race/Ethnicity,Asian
8681,Delaware,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,50.3,Age (years),18 - 24
8682,Vermont,Percent of adults aged 18 years and older who have obesity,25.4,Total,Total
8683,Massachusetts,Percent of adults who engage in no leisure-time physical activity,24.2,Age (years),45 - 54
8684,Rhode Island,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),26.6,Age (years),35 - 44
8685,Missouri,Percent of adults aged 18 years and older who have obesity,37.6,Gender,Female
8686,South Dakota,Percent of adults who engage in no leisure-time physical activity,21.9,Gender,Female
8687,Louisiana,Percent of adults who report consuming vegetables less than one time daily,23.0,Income,Data not reported
8688,Utah,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,30.5,Gender,Female
8689,Oregon,Percent of adults aged 18 years and older who have obesity,35.0,Age (years),35 - 44
8690,Pennsylvania,Percent of adults aged 18 years and older who have an overweight classification,32.6,Education,High school graduate
8691,Illinois,Percent of adults who report consuming fruit less than one time daily,31.6,Age (years),45 - 54
8692,Nevada,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),51.4,Gender,Male
8693,Oklahoma,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,20.8,Race/Ethnicity,Hispanic
8694,Minnesota,Percent of adults who engage in no leisure-time physical activity,15.6,Age (years),18 - 24
8695,Wisconsin,Percent of adults aged 18 years and older who have an overweight classification,34.5,Race/Ethnicity,Asian
8696,Vermont,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),43.1,Race/Ethnicity,Hispanic
8697,Indiana,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),44.2,Age (years),65 or older
8698,West Virginia,Percent of adults who engage in no leisure-time physical activity,16.2,Age (years),18 - 24
8699,Kansas,Percent of adults aged 18 years and older who have obesity,32.4,Education,Less than high school
8700,Virginia,Percent of adults aged 18 years and older who have obesity,34.9,Gender,Female
8701,National,Percent of adults aged 18 years and older who have obesity,33.5,Age (years),55 - 64
8702,Maryland,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,27.0,Age (years),45 - 54
8703,Rhode Island,Percent of adults aged 18 years and older who have an overweight classification,34.5,Race/Ethnicity,Other
8704,Nevada,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,19.3,Age (years),35 - 44
8705,Idaho,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,42.7,Age (years),18 - 24
8706,Montana,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),49.0,Race/Ethnicity,Hispanic
8707,Minnesota,Percent of adults aged 18 years and older who have an overweight classification,25.5,Age (years),18 - 24
8708,Kansas,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,18.2,Age (years),45 - 54
8709,Oklahoma,Percent of adults who engage in no leisure-time physical activity,14.0,Race/Ethnicity,Asian
8710,New York,Percent of adults who engage in no leisure-time physical activity,30.2,Age (years),55 - 64
8711,Virgin Islands,Percent of adults aged 18 years and older who have obesity,39.0,Education,High school graduate
8712,Oregon,Percent of adults who engage in no leisure-time physical activity,21.9,Age (years),55 - 64
8713,Mississippi,Percent of adults aged 18 years and older who have obesity,43.4,Race/Ethnicity,Non-Hispanic Black
8714,Minnesota,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,39.0,Race/Ethnicity,Asian
8715,Arkansas,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),46.6,Age (years),35 - 44
8716,New Mexico,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),50.7,Race/Ethnicity,2 or more races
8717,Arkansas,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),46.8,Total,Total
8718,North Dakota,Percent of adults aged 18 years and older who have obesity,36.8,Income,"$50,000 - $74,999"
8719,North Dakota,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,16.6,Race/Ethnicity,Non-Hispanic White
8720,West Virginia,Percent of adults aged 18 years and older who have an overweight classification,31.5,Income,Data not reported
8721,Idaho,Percent of adults aged 18 years and older who have obesity,29.2,Gender,Female
8722,Arkansas,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),47.8,Age (years),25 - 34
8723,Georgia,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),27.5,Race/Ethnicity,2 or more races
8724,Guam,Percent of adults who engage in no leisure-time physical activity,25.6,Race/Ethnicity,Other
8725,North Dakota,Percent of adults aged 18 years and older who have an overweight classification,34.3,Race/Ethnicity,American Indian/Alaska Native
8726,New Mexico,Percent of adults who engage in no leisure-time physical activity,13.8,Income,"$50,000 - $74,999"
8727,New Hampshire,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),31.1,Race/Ethnicity,Non-Hispanic Black
8728,Oklahoma,Percent of adults who report consuming vegetables less than one time daily,33.2,Race/Ethnicity,Hispanic
8729,Missouri,Percent of adults aged 18 years and older who have an overweight classification,26.6,Income,"Less than $15,000"
8730,District of Columbia,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,25.2,Gender,Female
8731,Wisconsin,Percent of adults aged 18 years and older who have an overweight classification,37.5,Age (years),45 - 54
8732,Virginia,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),33.3,Education,Some college or technical school
8733,Alabama,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),47.4,Income,"$35,000 - $49,999"
8734,Guam,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),39.8,Age (years),55 - 64
8735,Vermont,Percent of adults aged 18 years and older who have obesity,31.0,Race/Ethnicity,Asian
8736,Georgia,Percent of adults aged 18 years and older who have obesity,30.2,Income,"$25,000 - $34,999"
8737,Colorado,Percent of adults aged 18 years and older who have an overweight classification,34.5,Race/Ethnicity,Hawaiian/Pacific Islander
8738,National,Percent of adults who report consuming fruit less than one time daily,39.5,Age (years),35 - 44
8739,Alaska,Percent of adults aged 18 years and older who have an overweight classification,38.7,Race/Ethnicity,2 or more races
8740,New York,Percent of adults who engage in no leisure-time physical activity,25.8,Total,Total
8741,Tennessee,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),28.1,Income,Data not reported
8742,Virginia,Percent of adults aged 18 years and older who have an overweight classification,37.2,Age (years),65 or older
8743,Maryland,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,28.5,Race/Ethnicity,Hispanic
8744,Louisiana,Percent of adults who engage in no leisure-time physical activity,25.8,Race/Ethnicity,Hispanic
8745,Rhode Island,Percent of adults aged 18 years and older who have an overweight classification,39.5,Income,"$75,000 or greater"
8746,Michigan,Percent of adults aged 18 years and older who have an overweight classification,33.2,Education,High school graduate
8747,Virgin Islands,Percent of adults who engage in no leisure-time physical activity,26.9,Education,High school graduate
8748,Iowa,Percent of adults aged 18 years and older who have an overweight classification,31.7,Income,"$15,000 - $24,999"
8749,District of Columbia,Percent of adults aged 18 years and older who have an overweight classification,34.5,Race/Ethnicity,Hawaiian/Pacific Islander
8750,Virginia,Percent of adults aged 18 years and older who have an overweight classification,35.1,Total,Total
8751,Kentucky,Percent of adults who engage in no leisure-time physical activity,41.4,Income,"Less than $15,000"
8752,Wisconsin,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,28.0,Age (years),55 - 64
8753,Georgia,Percent of adults who engage in no leisure-time physical activity,34.4,Age (years),65 or older
8754,North Carolina,Percent of adults who report consuming fruit less than one time daily,33.4,Income,"$50,000 - $74,999"
8755,Delaware,Percent of adults who engage in no leisure-time physical activity,38.8,Education,Less than high school
8756,Kansas,Percent of adults who report consuming vegetables less than one time daily,23.6,Race/Ethnicity,Hispanic
8757,Hawaii,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,41.0,Gender,Male
8758,Tennessee,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,22.2,Race/Ethnicity,American Indian/Alaska Native
8759,Pennsylvania,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,21.6,Race/Ethnicity,Non-Hispanic Black
8760,Puerto Rico,Percent of adults aged 18 years and older who have obesity,31.0,Race/Ethnicity,Asian
8761,Oklahoma,Percent of adults who engage in no leisure-time physical activity,16.0,Age (years),18 - 24
8762,Ohio,Percent of adults who engage in no leisure-time physical activity,23.1,Gender,Male
8763,Texas,Percent of adults aged 18 years and older who have an overweight classification,35.4,Income,"$15,000 - $24,999"
8764,South Dakota,Percent of adults aged 18 years and older who have an overweight classification,34.5,Race/Ethnicity,Asian
8765,Delaware,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),49.8,Race/Ethnicity,Other
8766,Utah,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),34.9,Income,"$25,000 - $34,999"
8767,Wyoming,Percent of adults aged 18 years and older who have an overweight classification,38.7,Total,Total
8768,Iowa,Percent of adults aged 18 years and older who have an overweight classification,30.3,Gender,Female
8769,Illinois,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),49.4,Income,Data not reported
8770,Indiana,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),49.8,Race/Ethnicity,Hawaiian/Pacific Islander
8771,Illinois,Percent of adults aged 18 years and older who have an overweight classification,28.7,Gender,Female
8772,Rhode Island,Percent of adults aged 18 years and older who have obesity,33.9,Income,"$35,000 - $49,999"
8773,Louisiana,Percent of adults who engage in no leisure-time physical activity,30.5,Race/Ethnicity,Non-Hispanic White
8774,Iowa,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),28.3,Race/Ethnicity,2 or more races
8775,Texas,Percent of adults who report consuming fruit less than one time daily,41.1,Race/Ethnicity,2 or more races
8776,Colorado,Percent of adults who engage in no leisure-time physical activity,14.0,Income,"$50,000 - $74,999"
8777,South Dakota,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,31.1,Income,"$75,000 or greater"
8778,Arizona,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),37.6,Race/Ethnicity,Non-Hispanic Black
8779,Idaho,Percent of adults who report consuming vegetables less than one time daily,21.4,Race/Ethnicity,Hawaiian/Pacific Islander
8780,Kentucky,Percent of adults who engage in no leisure-time physical activity,23.5,Age (years),18 - 24
8781,Delaware,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,42.7,Age (years),35 - 44
8782,Colorado,Percent of adults aged 18 years and older who have obesity,22.3,Income,"Less than $15,000"
8783,Nevada,Percent of adults who report consuming vegetables less than one time daily,26.7,Gender,Male
8784,South Carolina,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,26.3,Race/Ethnicity,Non-Hispanic White
8785,West Virginia,Percent of adults aged 18 years and older who have an overweight classification,34.5,Race/Ethnicity,Other
8786,Wisconsin,Percent of adults who engage in no leisure-time physical activity,21.9,Total,Total
8787,Delaware,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),32.2,Age (years),65 or older
8788,Connecticut,Percent of adults aged 18 years and older who have an overweight classification,36.1,Education,College graduate
8789,Vermont,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),63.7,Education,Some college or technical school
8790,Tennessee,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),42.6,Race/Ethnicity,American Indian/Alaska Native
8791,Nebraska,Percent of adults who engage in no leisure-time physical activity,24.6,Race/Ethnicity,Asian
8792,West Virginia,Percent of adults who report consuming vegetables less than one time daily,18.6,Income,"$25,000 - $34,999"
8793,Ohio,Percent of adults who engage in no leisure-time physical activity,29.8,Income,"$35,000 - $49,999"
8794,Idaho,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,17.4,Race/Ethnicity,Hispanic
8795,Maine,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),45.0,Race/Ethnicity,American Indian/Alaska Native
8796,Alaska,Percent of adults who engage in no leisure-time physical activity,20.1,Gender,Male
8797,Maine,Percent of adults aged 18 years and older who have obesity,30.0,Age (years),35 - 44
8798,Montana,Percent of adults who engage in no leisure-time physical activity,21.1,Race/Ethnicity,Non-Hispanic White
8799,Arizona,Percent of adults aged 18 years and older who have an overweight classification,31.4,Gender,Female
8800,Puerto Rico,Percent of adults aged 18 years and older who have obesity,23.4,Age (years),18 - 24
8801,New York,Percent of adults aged 18 years and older who have obesity,28.7,Income,"$75,000 or greater"
8802,Ohio,Percent of adults aged 18 years and older who have obesity,40.0,Education,High school graduate
8803,Wisconsin,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,28.3,Education,College graduate
8804,Vermont,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),41.0,Gender,Male
8805,Ohio,Percent of adults aged 18 years and older who have an overweight classification,34.5,Race/Ethnicity,Hawaiian/Pacific Islander
8806,West Virginia,Percent of adults aged 18 years and older who have an overweight classification,34.5,Race/Ethnicity,American Indian/Alaska Native
8807,Nebraska,Percent of adults aged 18 years and older who have obesity,35.0,Income,"Less than $15,000"
8808,Wisconsin,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),54.7,Age (years),25 - 34
8809,Pennsylvania,Percent of adults who engage in no leisure-time physical activity,13.3,Education,College graduate
8810,Mississippi,Percent of adults who engage in no leisure-time physical activity,37.2,Income,"$15,000 - $24,999"
8811,Idaho,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),36.0,Gender,Male
8812,Florida,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,48.9,Race/Ethnicity,Other
8813,Idaho,Percent of adults who engage in no leisure-time physical activity,25.6,Race/Ethnicity,Hawaiian/Pacific Islander
8814,Illinois,Percent of adults who report consuming fruit less than one time daily,38.7,Income,"$75,000 or greater"
8815,North Carolina,Percent of adults aged 18 years and older who have obesity,33.9,Income,"$25,000 - $34,999"
8816,Texas,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),24.0,Income,"$25,000 - $34,999"
8817,Virgin Islands,Percent of adults aged 18 years and older who have an overweight classification,37.3,Age (years),55 - 64
8818,Iowa,Percent of adults who engage in no leisure-time physical activity,25.6,Race/Ethnicity,Other
8819,Kentucky,Percent of adults aged 18 years and older who have an overweight classification,24.5,Race/Ethnicity,2 or more races
8820,Utah,Percent of adults who engage in no leisure-time physical activity,19.9,Race/Ethnicity,Asian
8821,Washington,Percent of adults aged 18 years and older who have an overweight classification,39.7,Age (years),45 - 54
8822,South Dakota,Percent of adults aged 18 years and older who have obesity,31.0,Race/Ethnicity,Asian
8823,Ohio,Percent of adults aged 18 years and older who have an overweight classification,28.8,Education,Less than high school
8824,Oklahoma,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),44.6,Age (years),65 or older
8825,Hawaii,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,21.2,Age (years),35 - 44
8826,Connecticut,Percent of adults who engage in no leisure-time physical activity,42.1,Income,"Less than $15,000"
8827,New Mexico,Percent of adults who engage in no leisure-time physical activity,29.4,Age (years),65 or older
8828,Pennsylvania,Percent of adults aged 18 years and older who have obesity,34.3,Age (years),65 or older
8829,Pennsylvania,Percent of adults aged 18 years and older who have an overweight classification,34.5,Race/Ethnicity,Other
8830,Michigan,Percent of adults aged 18 years and older who have an overweight classification,30.3,Age (years),25 - 34
8831,Arizona,Percent of adults who report consuming fruit less than one time daily,40.9,Education,High school graduate
8832,Missouri,Percent of adults who engage in no leisure-time physical activity,15.0,Education,College graduate
8833,Wyoming,Percent of adults aged 18 years and older who have an overweight classification,34.7,Race/Ethnicity,Hispanic
8834,Utah,Percent of adults who engage in no leisure-time physical activity,17.2,Income,"$50,000 - $74,999"
8835,Guam,Percent of adults who report consuming vegetables less than one time daily,28.4,Race/Ethnicity,Hispanic
8836,Minnesota,Percent of adults who engage in no leisure-time physical activity,19.0,Age (years),25 - 34
8837,Kentucky,Percent of adults who engage in no leisure-time physical activity,25.6,Race/Ethnicity,Hawaiian/Pacific Islander
8838,Georgia,Percent of adults aged 18 years and older who have obesity,40.5,Income,"Less than $15,000"
8839,Indiana,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,29.5,Gender,Male
8840,Michigan,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,16.1,Age (years),55 - 64
8841,Nebraska,Percent of adults who engage in no leisure-time physical activity,13.2,Income,"$75,000 or greater"
8842,Maine,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,30.9,Race/Ethnicity,Asian
8843,Louisiana,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),43.0,Age (years),55 - 64
8844,Montana,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,30.7,Income,Data not reported
8845,Hawaii,Percent of adults who engage in no leisure-time physical activity,26.4,Age (years),55 - 64
8846,Montana,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),41.2,Race/Ethnicity,Hispanic
8847,Nebraska,Percent of adults who report consuming vegetables less than one time daily,21.9,Gender,Male
8848,District of Columbia,Percent of adults aged 18 years and older who have an overweight classification,22.3,Age (years),18 - 24
8849,West Virginia,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,10.1,Age (years),55 - 64
8850,Mississippi,Percent of adults aged 18 years and older who have obesity,26.3,Age (years),18 - 24
8851,Missouri,Percent of adults who engage in no leisure-time physical activity,21.8,Age (years),35 - 44
8852,Alabama,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,10.1,Income,"Less than $15,000"
8853,Mississippi,Percent of adults aged 18 years and older who have an overweight classification,41.8,Age (years),65 or older
